Station,Init,QC1,QC2,QC3,QC4,QC5,QC6,QCTot,Pct_Flagged_QC1,Pct_Flagged_QC2,Pct_Flagged_QC3,Pct_Flagged_QC4,Pct_Flagged_QC5,Pct_Flagged_QC6,Pct_Flagged_Total
TMS,144756,922,576,151,350,62,17,1949,0.64,0.4,0.1,0.24,0.04,0.01,1.35
TPI,74139,1240,286,40,4,2,2,1573,1.67,0.39,0.05,0.01,0,0,2.12
TRN,137366,1212,1522,1961,785,20,42,5382,0.88,1.11,1.43,0.57,0.01,0.03,3.92
TSL,126574,549,525,484,1,2,6,1563,0.43,0.41,0.38,0,0,0,1.23
TWA,93223,445,1509,906,650,7,20,3352,0.48,1.62,0.97,0.7,0.01,0.02,3.6
TWI,63385,23,590,249,80,13,9,943,0.04,0.93,0.39,0.13,0.02,0.01,1.49
UNI,206973,196,760,355,32,10,16,1356,0.09,0.37,0.17,0.02,0,0.01,0.66
VCU,145164,379,875,1958,1104,19,17,4314,0.26,0.6,1.35,0.76,0.01,0.01,2.97
VER,207640,261,889,487,51,16,18,1707,0.13,0.43,0.23,0.02,0.01,0.01,0.82
VIC,208150,526,535,746,161,25,20,1958,0.25,0.26,0.36,0.08,0.01,0.01,0.94
VNS,72503,131,191,294,20,6,2,642,0.18,0.26,0.41,0.03,0.01,0,0.89
VOL,185519,419,10194,99,377,38,43,11053,0.23,5.49,0.05,0.2,0.02,0.02,5.96
WCI,92032,2946,1178,603,1,2,7,4729,3.2,1.28,0.66,0,0,0.01,5.14
