term,estimate,std.error,statistic,p.value
(Intercept),-6.7342,1.6564,-4.0656,0.0001
Year,0.0034,0.0008,4.0941,0.0001
LocationGoodyear Slough,0.0072,0.0199,0.3622,0.7177
LocationCollinsville,0.0001,0.0199,0.0050,0.9960
LocationRio Vista,0.0171,0.0199,0.8577,0.3923
LocationJersey Point,-0.0025,0.0199,-0.1276,0.8986
LocationSacramento River At Hood,0.0174,0.0199,0.8733,0.3838
LocationRough And Ready Island,-0.0075,0.0199,-0.3785,0.7056
LocationVernalis,0.0094,0.0199,0.4709,0.6384
