ZCTA5,lon,lat
91356,-118.5422,34.166983
91360,-118.87512,34.208994
91361,-118.84149,34.147234
91362,-118.82942,34.195161
91364,-118.6006,34.158046
91367,-118.61522,34.177673
91371,-118.57458,34.185686
91377,-118.76852,34.181188
91381,-118.58932,34.389873
91384,-118.62406,34.473839
91387,-118.42959,34.421164
91390,-118.46978,34.483811
91401,-118.43337,34.180575
91402,-118.44818,34.22692
91403,-118.46064,34.152499
91405,-118.44736,34.200028
91406,-118.48896,34.199961
91411,-118.45861,34.179704
91423,-118.43278,34.153162
91436,-118.48981,34.150657
91501,-118.30126,34.186721
91502,-118.30669,34.17544
91504,-118.32982,34.200808
91505,-118.34493,34.169419
91506,-118.32364,34.171819
91601,-118.37254,34.168717
91602,-118.36866,34.151929
91604,-118.39285,34.143569
91605,-118.40096,34.206053
91606,-118.38704,34.186976
91607,-118.39991,34.167315
91701,-117.59179,34.133354
91702,-117.90347,34.125805
91706,-117.9702,34.083964
91708,-117.63371,33.954093
91709,-117.72436,33.974902
91710,-117.68402,34.014858
91711,-117.7187,34.10916
91719,-117.43711,33.73803
91722,-117.90752,34.097673
91723,-117.88629,34.084611
91724,-117.85739,34.092812
91730,-117.58432,34.105327
91731,-118.03735,34.079341
91732,-118.01531,34.071196
91733,-118.04493,34.055584
91737,-117.57889,34.144822
91739,-117.52604,34.129753
91740,-117.85775,34.118069
91741,-117.85446,34.13932
91743,-117.58608,34.064511
91744,-117.93631,34.030298
91745,-117.96674,33.998209
91746,-117.98246,34.050213
91748,-117.8969,33.981036
91750,-117.77056,34.116519
91752,-117.53301,33.986109
91754,-118.13902,34.051361
91755,-118.11641,34.056259
91759,-117.64731,34.239141
91761,-117.61688,34.029233
91762,-117.66592,34.058295
91763,-117.69996,34.07034
91764,-117.6233,34.076214
91765,-117.81365,34.003221
91766,-117.7537,34.043407
91767,-117.73676,34.081133
91768,-117.77847,34.065839
91770,-118.0858,34.066167
91773,-117.81711,34.102151
91775,-118.08631,34.115581
91776,-118.09589,34.089012
91780,-118.05489,34.10164
91784,-117.65837,34.135898
91786,-117.65786,34.102488
91789,-117.85819,34.017824
91790,-117.93806,34.067484
91791,-117.8992,34.064049
91792,-117.89962,34.022456
91801,-118.13008,34.091615
91803,-118.14354,34.07449
91901,-116.76029,32.827484
91902,-117.02064,32.665962
91905,-116.31336,32.671065
91906,-116.4691,32.648223
91910,-117.06042,32.637854
91911,-117.05571,32.6094
91913,-116.98727,32.631908
91914,-116.96067,32.662642
91915,-116.9534,32.634223
91916,-116.61931,32.867182
91917,-116.72518,32.618887
91931,-116.5647,32.842998
91932,-117.11459,32.578804
91934,-116.1917,32.627969
91935,-116.83401,32.719684
91941,-117.00479,32.757929
91942,-117.02465,32.777055
91945,-117.03377,32.732735
91948,-116.42704,32.866071
91950,-117.09135,32.67452
91962,-116.52005,32.824933
91963,-116.60742,32.621405
91977,-116.99879,32.724036
91978,-116.96037,32.730876
91980,-116.62444,32.587113
92003,-117.2073,33.287449
92004,-116.34823,33.2361
92007,-117.2749,33.025543
92008,-117.33152,33.156451
92009,-117.24563,33.093687
92010,-117.3028,33.164614
92011,-117.29612,33.10763
92014,-117.25253,32.957035
92019,-116.91869,32.77609
92020,-116.96641,32.792087
92021,-116.92426,32.817962
92024,-117.26947,33.054515
92025,-117.07162,33.111451
92026,-117.10088,33.16127
92027,-117.04995,33.138394
92028,-117.22603,33.366141
92029,-117.10706,33.094458
92036,-116.56635,33.050413
92037,-117.25005,32.848309
92040,-116.92128,32.858043
92054,-117.37121,33.207908
92055,-117.44753,33.337671
92056,-117.28459,33.199351
92057,-117.30068,33.243892
92058,-117.35427,33.239323
92059,-117.07504,33.37414
92060,-116.84318,33.320439
92061,-116.95878,33.310724
92064,-117.04137,32.974727
92065,-116.85525,33.027829
92066,-116.52458,33.221247
92067,-117.19615,33.014351
92069,-117.16048,33.152312
92070,-116.69775,33.146195
92071,-116.98731,32.848326
92075,-117.26057,32.993082
92078,-117.19122,33.122693
92081,-117.24404,33.170693
92082,-117.02091,33.246844
92083,-117.24995,33.198124
92084,-117.22524,33.212175
92086,-116.69637,33.343923
92091,-117.21162,32.996943
92101,-117.16071,32.716653
92102,-117.11971,32.713877
92103,-117.16342,32.746503
92104,-117.12811,32.746413
92105,-117.09561,32.742254
92106,-117.23033,32.727299
92107,-117.24338,32.742134
92108,-117.1368,32.777793
92109,-117.24143,32.797785
92110,-117.2021,32.763956
92111,-117.17199,32.796519
92113,-117.11614,32.695989
92114,-117.05344,32.705993
92115,-117.07292,32.759377
92116,-117.12493,32.762175
92117,-117.19687,32.823475
92118,-117.17757,32.680724
92119,-117.02658,32.80305
92120,-117.07116,32.794491
92121,-117.20309,32.899343
92122,-117.21299,32.861647
92123,-117.13798,32.799567
92124,-117.09862,32.820346
92126,-117.14102,32.914422
92127,-117.10975,33.01731
92128,-117.07364,32.993998
92129,-117.12571,32.961472
92130,-117.21656,32.945593
92131,-117.08782,32.919684
92134,-117.14628,32.724946
92135,-117.18861,32.698505
92139,-117.0481,32.680414
92140,-117.19752,32.74027
